iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp
384,CDI1,1,19-January-1997,1997,1,Protests,Peaceful protest,Protesters (Ivory Coast),FESCI: Student Federation of Ivory Coast; Students (Ivory Coast),6,NA,NA,0,60,Western Africa,Ivory Coast,Abidjan,District Autonome D'Abidjan,NA,Abidjan,5.341,-4.028,1,All Africa,Regional,Students protest over state of education in Ivory Coast,0,1582579226
384,CDI2,2,19-January-1997,1997,1,Protests,Protest with intervention,Police Forces of the Ivory Coast (1993-1999),NA,1,Protesters (Ivory Coast),COJEP: Young Patriots; Students (Ivory Coast),6,16,Western Africa,Ivory Coast,Abidjan,District Autonome D'Abidjan,NA,Abidjan,5.341,-4.028,1,All Africa,Regional,Alleged police brutality during student protest,0,1585691845
384,CDI3,3,21-January-1997,1997,1,Protests,Peaceful protest,Protesters (Ivory Coast),FESCI: Student Federation of Ivory Coast; Students (Ivory Coast),6,NA,NA,0,60,Western Africa,Ivory Coast,Abidjan,District Autonome D'Abidjan,NA,Abidjan,5.341,-4.028,1,All Africa,Regional,Students protest over state of education in Ivory Coast,0,1582579226
384,CDI4,4,21-January-1997,1997,1,Violence against civilians,Attack,Police Forces of the Ivory Coast (1993-1999),NA,1,Civilians (Ivory Coast),Students (Ivory Coast),7,17,Western Africa,Ivory Coast,Abidjan,District Autonome D'Abidjan,NA,Abidjan,5.341,-4.028,1,All Africa,Regional,Two students shot and wounded by police during protests,2,1585691845
384,CDI5,5,06-March-1997,1997,1,Riots,Violent demonstration,Rioters (Ivory Coast),NA,5,NA,NA,0,50,Western Africa,Ivory Coast,Abidjan,District Autonome D'Abidjan,NA,Abidjan,5.341,-4.028,1,Reuters,International,Riots as penis-shrinking scare spreads through Ivory Coast,0,1582579225
384,CDI6,6,06-March-1997,1997,1,Riots,Mob violence,Rioters (Ivory Coast),Vigilante Group (Ivory Coast),5,Civilians (Ivory Coast),NA,7,57,Western Africa,Ivory Coast,Abidjan,District Autonome D'Abidjan,NA,Abidjan,5.341,-4.028,1,Reuters,International,Spate of killings by angry mob accusing people of being sorcerers,10,1575307067
384,CDI7,7,07-March-1997,1997,1,Riots,Mob violence,Rioters (Ivory Coast),Vigilante Group (Ivory Coast),5,Civilians (Ivory Coast),NA,7,57,Western Africa,Ivory Coast,Abidjan,District Autonome D'Abidjan,NA,Abidjan,5.341,-4.028,1,Reuters,International,Spate of killings by angry mob accusing people of being penis-shrinking sorcerers,2,1575307068
384,CDI8,8,08-March-1997,1997,1,Riots,Mob violence,Rioters (Ivory Coast),Vigilante Group (Ivory Coast),5,Civilians (Ivory Coast),NA,7,57,Western Africa,Ivory Coast,Abidjan,District Autonome D'Abidjan,NA,Abidjan,5.341,-4.028,1,Reuters,International,Spate of killings by angry mob accusing people of being penis-shrinking sorcerers,3,1575307068
384,CDI10,10,23-June-1997,1997,1,Protests,Protest with intervention,Police Forces of the Ivory Coast (1993-1999),NA,1,Protesters (Ivory Coast),FESCI: Student Federation of Ivory Coast; Students (Ivory Coast),6,16,Western Africa,Ivory Coast,Abidjan,District Autonome D'Abidjan,NA,Abidjan,5.341,-4.028,1,Reuters,International,Police respond to student protests with violence,0,1585691844
384,CDI9,9,23-June-1997,1997,1,Protests,Peaceful protest,Protesters (Ivory Coast),FESCI: Student Federation of Ivory Coast; Students (Ivory Coast),6,NA,NA,0,60,Western Africa,Ivory Coast,Abidjan,District Autonome D'Abidjan,NA,Abidjan,5.341,-4.028,1,Reuters,International,Students gather to protest over state of education in Ivory Coast,0,1575307069
