zip,Population,geometry,Latitude,Longitude,cum
60621,29042,POINT (-87.638812 41.776931),-87.638812,41.776931,38116
60623,85979,POINT (-87.717446 41.850321),-87.717446,41.850321,213806
60652,43907,POINT (-87.714238 41.745398),-87.714238,41.745398,83887
60647,87509,POINT (-87.701101 41.921058),-87.701101,41.921058,125218
60613,50113,POINT (-87.661343 41.953742),-87.661343,41.953742,47431
60618,94395,POINT (-87.703343 41.946699),-87.703343,41.946699,119549
60601,14675,POINT (-87.622844 41.886262),-87.622844,41.886262,12423
60628,66724,POINT (-87.621537 41.694192),-87.621537,41.694192,84922
60636,32203,POINT (-87.668597 41.77599),-87.668597,41.77599,54181
60707,43019,POINT (-87.808283 41.921777),-87.808283,41.921777,33676
60659,41068,POINT (-87.703266 41.99080300000001),-87.703266,41.99080300000001,60629
60634,75995,POINT (-87.797373 41.944967000000005),-87.797373,41.944967000000005,143671
60632,91039,POINT (-87.711251 41.810038),-87.711251,41.810038,233123
60655,28804,POINT (-87.701434 41.696456),-87.701434,41.696456,42523
60616,54464,POINT (-87.629531 41.844869),-87.629531,41.844869,48790
60641,71023,POINT (-87.746791 41.946682),-87.746791,41.946682,132253
60637,47454,POINT (-87.604053 41.780991),-87.604053,41.780991,49548
60645,47732,POINT (-87.695049 42.008927),-87.695049,42.008927,76503
60630,57344,POINT (-87.759611 41.971261),-87.759611,41.971261,75711
60631,29529,POINT (-87.813371 41.995019),-87.813371,41.995019,38681
60607,29591,POINT (-87.652727 41.876104),-87.652727,41.876104,39559
60666,0,POINT (-87.896371 41.979511),-87.896371,41.979511,0
60629,111850,POINT (-87.711565 41.777061),-87.711565,41.777061,281139
60602,1244,POINT (-87.628309 41.883136),-87.628309,41.883136,1316
60639,90517,POINT (-87.75531 41.920609),-87.75531,41.920609,244167
60624,36158,POINT (-87.722735 41.879417),-87.722735,41.879417,58723
60651,63218,POINT (-87.741017 41.901964),-87.741017,41.901964,128662
60615,41563,POINT (-87.602725 41.80199300000001),-87.602725,41.80199300000001,33747
60646,27987,POINT (-87.761826 41.993931),-87.761826,41.993931,34604
60644,47712,POINT (-87.756863 41.881113),-87.756863,41.881113,77901
60638,58797,POINT (-87.771902 41.787032),-87.771902,41.787032,114636
60643,49870,POINT (-87.662381 41.700445),-87.662381,41.700445,65441
60609,61495,POINT (-87.653382 41.812017),-87.653382,41.812017,126569
60633,12871,POINT (-87.556037 41.653147),-87.556037,41.653147,19356
60654,19135,POINT (-87.63635400000001 41.892485),-87.63635400000001,41.892485,23771
60827,28577,POINT (-87.633087 41.650765),-87.633087,41.650765,5441
60625,79243,POINT (-87.701816 41.971155),-87.701816,41.971155,110237
60617,82534,POINT (-87.556897 41.721257),-87.556897,41.721257,117020
60606,3101,POINT (-87.63676 41.882634),-87.63676,41.882634,3898
60605,27519,POINT (-87.623449 41.867824),-87.623449,41.867824,24520
60640,69715,POINT (-87.662232 41.971888),-87.662232,41.971888,67501
60610,39019,POINT (-87.63581 41.90455),-87.63581,41.90455,39881
60656,27579,POINT (-87.817934 41.974566),-87.817934,41.974566,37341
60622,52793,POINT (-87.681818 41.902762),-87.681818,41.902762,67708
60620,68096,POINT (-87.651656 41.740873),-87.651656,41.740873,85932
60657,70052,POINT (-87.658216 41.939715),-87.658216,41.939715,59311
60604,782,POINT (-87.62902900000002 41.878153),-87.62902900000002,41.878153,1634
60619,61258,POINT (-87.60569 41.744737),-87.60569,41.744737,71536
60611,32426,POINT (-87.620291 41.894734),-87.620291,41.894734,27016
60626,49730,POINT (-87.669834 42.009469),-87.669834,42.009469,72489
60642,20201,POINT (-87.657821 41.899935),-87.657821,41.899935,23912
60649,46024,POINT (-87.571522 41.762202),-87.571522,41.762202,57252
60653,31972,POINT (-87.611244 41.819261),-87.611244,41.819261,40434
60608,79205,POINT (-87.670366 41.849879),-87.670366,41.849879,136226
60603,1174,POINT (-87.625473 41.880112000000004),-87.625473,41.880112000000004,782
60612,34311,POINT (-87.687011 41.88004),-87.687011,41.88004,54225
60614,71308,POINT (-87.652064 41.922605),-87.652064,41.922605,67580
60660,43242,POINT (-87.666362 41.991062),-87.666362,41.991062,39617
60661,9926,POINT (-87.644283 41.882786),-87.644283,41.882786,9349
